lat,lon,amenaza,probabilidad
-20.251269,-69.787345,Robo,0.0
-33.38684,-71.11022,Robo,0.0
-18.480584,-70.311104,Robo,0.0
-53.150923,-70.90389,Robo,0.0
-33.03134,-71.58439,Robo,0.0
-33.418105,-70.654988,Robo,0.0
-33.422114,-70.632388,Robo,0.0
-33.024783,-71.550523,Robo,1.0
-34.4626,-71.9721,Robo,0.0
-23.63738,-70.38868,Robo,0.0
-34.707591,-71.298397,Robo,0.0
-33.519531,-70.563421,Robo,0.0
-43.118673,-73.619572,Robo,0.0
-39.27368,-71.979087,Robo,0.0
-33.442377,-70.667575,Robo,0.0
-36.83756,-73.14341,Robo,0.0
-34.52279,-71.37435,Robo,0.0
-34.485752,-71.119226,Robo,0.0
-37.02488,-73.17977,Robo,0.0
-35.675029,-71.741901,Robo,0.0
-38.252464,-72.668198,Robo,0.0
-53.164262,-70.908378,Robo,0.0
-42.353819,-73.579282,Robo,0.0
-42.799938,-73.489971,Robo,0.0
-32.83138,-70.597809,Robo,0.0
-34.4091,-70.86285,Robo,0.0
-26.391577,-70.045743,Robo,0.0
-38.537459,-72.424443,Robo,0.0
-29.945329,-71.283007,Robo,0.0
-36.637086,-71.996299,Robo,0.0
-53.140155,-71.348818,Robo,0.0
-33.434738,-70.650053,Robo,0.0
-27.152802,-109.4349,Robo,0.0
-29.72334,-71.24703,Robo,0.0
-30.2667,-70.6667,Robo,0.0
-26.348035,-70.620857,Robo,0.0
-34.96198,-71.126005,Robo,0.0
-33.378916,-70.658002,Robo,0.0
-42.06375,-73.44109,Robo,0.0
-33.564591,-70.556943,Robo,0.0
-33.435793,-70.647058,Robo,0.0
-52.272954,-71.192134,Robo,0.0
-50.983056,-72.966389,Robo,0.0
-52.124094,-69.766639,Robo,0.0
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Reporte de Tráfico,0.5
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.5
-33.4489,-70.6693,Feriado,0.2
-33.4489,-70.6693,Feriado,0.5
-33.4367,-70.735,Estado del Metro,0.2
-33.4396,-70.7244,Estado del Metro,0.2
-33.4432,-70.716,Estado del Metro,0.2
-33.4565,-70.697,Estado del Metro,0.2
-33.4604,-70.6855,Estado del Metro,0.2
